prov,Bloc,Conservative,Green,Liberal,NDP,riding_size
NL,,,,1,1,2
NL,,,,2,,2
NL,,0,,2,0,2
NL,,0,,1,0,1
PE,,1,,1,0,2
PE,,0,,2,0,2
NS,,1,,3,0,4
NS,,1,,2,0,3
NS,,0,,3,1,4
NB,,,,1,1,2
NB,,1,,2,0,3
NB,,2,,2,1,5
QC,2,1,,4,3,10
QC,1,,,2,1,4
QC,0,1,,5,2,8
QC,1,1,,2,2,6
QC,2,,,2,1,5
QC,1,,,2,1,4
QC,1,1,,1,1,4
QC,1,1,,2,1,5
QC,1,1,,1,1,4
QC,2,,,1,1,4
QC,0,,,1,1,2
QC,0,,,3,1,4
QC,1,3,,2,1,7
QC,,2,,1,1,4
QC,1,,,1,1,3
QC,1,1,,1,1,4
ON,,2,,5,1,8
ON,,1,,2,0,3
ON,,2,,2,0,4
ON,,1,,1,1,3
ON,,4,,4,1,9
ON,,2,,2,1,5
ON,,2,,3,1,6
ON,,1,,3,2,6
ON,,2,,4,1,7
ON,,2,,3,1,6
ON,,1,,3,1,5
ON,,2,,3,1,6
ON,,2,,2,0,4
ON,,2,,2,1,5
ON,,1,,1,1,3
ON,,2,,1,1,4
ON,,3,,2,,5
ON,,2,,1,0,3
ON,,1,,2,0,3
ON,,2,,2,1,5
ON,,1,,2,1,4
ON,,1,,1,1,3
ON,,1,,1,1,3
ON,,1,,2,0,3
ON,,0,,1,1,2
ON,,1,,1,1,3
ON,,1,,1,1,3
MB,,1,,3,0,4
MB,,2,,2,1,5
MB,,2,,1,0,3
MB,,1,,1,0,2
SK,,3,,1,1,5
SK,,3,,1,1,5
SK,,2,,1,1,4
AB,,6,,3,1,10
AB,,2,,1,0,3
AB,,3,,0,0,3
AB,,2,,0,0,2
AB,,2,,0,0,2
AB,,2,,1,0,3
AB,,4,,3,2,9
AB,,2,,0,0,2
BC,,1,,3,2,6
BC,,1,,3,1,5
BC,,1,,1,1,3
BC,,1,0,2,0,3
BC,,2,,3,1,6
BC,,1,,1,1,3
BC,,1,,,1,2
BC,,1,,1,0,2
BC,,1,,,1,2
BC,,1,,1,1,3
BC,,1,2,1,1,5
BC,,1,0,0,1,2
YT,,0,0,1,0,1
NT,,0,0,1,0,1
NU,,0,0,1,0,1
