riding_name,riding_number,party,prov_abbr,region_number,seat_type
Avalon,10001,Liberal,NL,9,local
Bonavista--Burin--Trinity,10002,Liberal,NL,9,local
Coast of Bays--Central--Notre Dame,10003,Liberal,NL,9,local
Labrador,10004,Liberal,NL,9,local
Long Range Mountains,10005,Liberal,NL,9,local
St. John's East/St. John's-Est,10006,Liberal,NL,9,local
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,Liberal,NL,9,local
Cardigan,11001,Liberal,PE,8,local
Charlottetown,11002,Liberal,PE,8,local
Egmont,11003,Liberal,PE,8,local
Malpeque,11004,Liberal,PE,8,local
Cape Breton--Canso,12001,Liberal,NS,7,local
Central Nova/Nova-Centre,12002,Liberal,NS,7,local
Cumberland--Colchester,12003,Liberal,NS,7,local
Dartmouth--Cole Harbour,12004,Liberal,NS,7,local
Halifax,12005,Liberal,NS,7,local
Halifax West/Halifax-Ouest,12006,Liberal,NS,7,local
Kings--Hants,12007,Liberal,NS,7,local
Sackville--Preston--Chezzetcook,12008,Liberal,NS,7,local
South Shore--St. Margarets,12009,Liberal,NS,7,local
Sydney--Victoria,12010,Liberal,NS,7,local
West Nova/Nova-Ouest,12011,Liberal,NS,7,local
Acadie--Bathurst,13001,Liberal,NB,6,local
Beauséjour,13002,Liberal,NB,6,local
Fredericton,13003,Liberal,NB,6,local
Fundy Royal,13004,Liberal,NB,6,local
Madawaska--Restigouche,13005,Liberal,NB,6,local
Miramichi--Grand Lake,13006,Liberal,NB,6,local
Moncton--Riverview--Dieppe,13007,Liberal,NB,6,local
New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,13008,Liberal,NB,6,local
Saint John--Rothesay,13009,Liberal,NB,6,local
Tobique--Mactaquac,13010,Liberal,NB,6,local
Abitibi--Baie-James--Nunavik--Eeyou,24001,NDP,QC,5,local
Abitibi--Témiscamingue,24002,NDP,QC,5,local
Ahuntsic-Cartierville,24003,Liberal,QC,5,local
Alfred-Pellan,24004,Liberal,QC,5,local
Argenteuil--La Petite-Nation,24005,Liberal,QC,5,local
Avignon--La Mitis--Matane--Matapédia,24006,Liberal,QC,5,local
Beauce,24007,Conservative,QC,5,local
Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24020,Conservative,QC,5,local
Beauport--Limoilou,24008,Conservative,QC,5,local
Bécancour--Nicolet--Saurel,24009,Bloc,QC,5,local
Bellechasse--Les Etchemins--Lévis,24010,Conservative,QC,5,local
Beloeil--Chambly,24011,NDP,QC,5,local
Berthier--Maskinongé,24012,NDP,QC,5,local
Bourassa,24015,Liberal,QC,5,local
Brome--Missisquoi,24016,Liberal,QC,5,local
Brossard--Saint-Lambert,24017,Liberal,QC,5,local
Charlesbourg--Haute-Saint-Charles,24019,Conservative,QC,5,local
Châteauguay--Lacolle,24021,Liberal,QC,5,local
Chicoutimi--Le Fjord,24022,Liberal,QC,5,local
Compton--Stanstead,24023,Liberal,QC,5,local
Dorval--Lachine--LaSalle,24024,Liberal,QC,5,local
Drummond,24025,NDP,QC,5,local
Gaspésie--Les Îles-de-la-Madeleine,24026,Liberal,QC,5,local
Gatineau,24027,Liberal,QC,5,local
Hochelaga,24028,NDP,QC,5,local
Honoré-Mercier,24029,Liberal,QC,5,local
Hull--Aylmer,24030,Liberal,QC,5,local
Joliette,24031,Bloc,QC,5,local
Jonquière,24032,NDP,QC,5,local
La Pointe-de-l'Île,24033,Bloc,QC,5,local
La Prairie,24034,Liberal,QC,5,local
Lac-Saint-Jean,24035,Conservative,QC,5,local
Lac-Saint-Louis,24036,Liberal,QC,5,local
LaSalle--Émard--Verdun,24037,Liberal,QC,5,local
Laurentides--Labelle,24038,Liberal,QC,5,local
Laurier--Sainte-Marie,24039,NDP,QC,5,local
Laval--Les Îles,24040,Liberal,QC,5,local
Lévis--Lotbinière,24042,Conservative,QC,5,local
Longueuil--Charles-LeMoyne,24041,Liberal,QC,5,local
Longueuil--Saint-Hubert,24043,NDP,QC,5,local
Louis-Hébert,24044,Liberal,QC,5,local
Louis-Saint-Laurent,24045,Conservative,QC,5,local
Manicouagan,24046,Bloc,QC,5,local
Marc-Aurèle-Fortin,24065,Liberal,QC,5,local
Mégantic--L'Érable,24047,Conservative,QC,5,local
Mirabel,24048,Bloc,QC,5,local
Montarville,24049,Liberal,QC,5,local
Montcalm,24050,Bloc,QC,5,local
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,24051,Conservative,QC,5,local
Mount Royal/Mont-Royal,24052,Liberal,QC,5,local
Notre-Dame-de-Grâce--Westmount,24053,Liberal,QC,5,local
Outremont,24054,NDP,QC,5,local
Papineau,24055,Liberal,QC,5,local
Pierre-Boucher--Les Patriotes--Verchères,24014,Bloc,QC,5,local
Pierrefonds--Dollard,24056,Liberal,QC,5,local
Pontiac,24057,Liberal,QC,5,local
Portneuf--Jacques-Cartier,24058,Conservative,QC,5,local
Québec,24059,Liberal,QC,5,local
Repentigny,24060,Bloc,QC,5,local
Richmond--Arthabaska,24061,Conservative,QC,5,local
Rimouski-Neigette--Témiscouata--Les Basques,24018,NDP,QC,5,local
Rivière-des-Mille-Îles,24062,Liberal,QC,5,local
Rivière-du-Nord,24063,Bloc,QC,5,local
Rosemont--La Petite-Patrie,24064,NDP,QC,5,local
Saint-Hyacinthe--Bagot,24066,NDP,QC,5,local
Saint-Jean,24067,Liberal,QC,5,local
Saint-Laurent,24068,Liberal,QC,5,local
Saint-Léonard--Saint-Michel,24069,Liberal,QC,5,local
Saint-Maurice--Champlain,24070,Liberal,QC,5,local
Salaberry--Suroît,24071,NDP,QC,5,local
Shefford,24072,Liberal,QC,5,local
Sherbrooke,24073,NDP,QC,5,local
Terrebonne,24075,Bloc,QC,5,local
Thérèse-De Blainville,24013,Liberal,QC,5,local
Trois-Rivières,24076,NDP,QC,5,local
Vaudreuil--Soulanges,24074,Liberal,QC,5,local
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,Liberal,QC,5,local
Vimy,24078,Liberal,QC,5,local
Ajax,35001,Liberal,ON,4,local
Algoma--Manitoulin--Kapuskasing,35002,NDP,ON,4,local
Aurora--Oak Ridges--Richmond Hill,35003,Liberal,ON,4,local
Barrie--Innisfil,35004,Conservative,ON,4,local
Barrie--Springwater--Oro-Medonte,35005,Conservative,ON,4,local
Bay of Quinte/Baie de Quinte,35006,Liberal,ON,4,local
Beaches--East York,35007,Liberal,ON,4,local
Brampton Centre/Brampton-Centre,35008,Liberal,ON,4,local
Brampton East/Brampton-Est,35009,Liberal,ON,4,local
Brampton North/Brampton-Nord,35010,Liberal,ON,4,local
Brampton South/Brampton-Sud,35011,Liberal,ON,4,local
Brampton West/Brampton-Ouest,35012,Liberal,ON,4,local
Brantford--Brant,35013,Conservative,ON,4,local
Bruce--Grey--Owen Sound,35014,Conservative,ON,4,local
Burlington,35015,Liberal,ON,4,local
Cambridge,35016,Liberal,ON,4,local
Carleton,35088,Conservative,ON,4,local
Chatham-Kent--Leamington,35017,Conservative,ON,4,local
Davenport,35018,Liberal,ON,4,local
Don Valley East/Don Valley-Est,35019,Liberal,ON,4,local
Don Valley North/Don Valley-Nord,35020,Liberal,ON,4,local
Don Valley West/Don Valley-Ouest,35021,Liberal,ON,4,local
Dufferin--Caledon,35022,Conservative,ON,4,local
Durham,35023,Conservative,ON,4,local
Eglinton--Lawrence,35024,Liberal,ON,4,local
Elgin--Middlesex--London,35025,Conservative,ON,4,local
Essex,35026,NDP,ON,4,local
Etobicoke Centre/Etobicoke-Centre,35027,Liberal,ON,4,local
Etobicoke North/Etobicoke-Nord,35029,Liberal,ON,4,local
Etobicoke--Lakeshore,35028,Liberal,ON,4,local
Flamborough--Glanbrook,35030,Conservative,ON,4,local
Glengarry--Prescott--Russell,35031,Liberal,ON,4,local
Guelph,35032,Liberal,ON,4,local
Haldimand--Norfolk,35033,Conservative,ON,4,local
Haliburton--Kawartha Lakes--Brock,35034,Conservative,ON,4,local
Hamilton Centre/Hamilton-Centre,35035,NDP,ON,4,local
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,Liberal,ON,4,local
Hamilton Mountain,35037,NDP,ON,4,local
Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,35038,Liberal,ON,4,local
Hastings--Lennox and Addington,35039,Liberal,ON,4,local
Humber River--Black Creek,35121,Liberal,ON,4,local
Huron--Bruce,35040,Conservative,ON,4,local
Kanata--Carleton,35041,Liberal,ON,4,local
Kenora,35042,Liberal,ON,4,local
King--Vaughan,35043,Liberal,ON,4,local
Kingston and the Islands/Kingston et les Îles,35044,Liberal,ON,4,local
Kitchener Centre/Kitchener-Centre,35045,Liberal,ON,4,local
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,Liberal,ON,4,local
Kitchener--Conestoga,35046,Conservative,ON,4,local
Lambton--Kent--Middlesex,35048,Conservative,ON,4,local
Lanark--Frontenac--Kingston,35049,Conservative,ON,4,local
Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,35050,Conservative,ON,4,local
London North Centre/London-Centre-Nord,35052,Liberal,ON,4,local
London West/London-Ouest,35053,Liberal,ON,4,local
London--Fanshawe,35051,NDP,ON,4,local
Markham--Stouffville,35054,Liberal,ON,4,local
Markham--Thornhill,35055,Liberal,ON,4,local
Markham--Unionville,35056,Conservative,ON,4,local
Milton,35057,Conservative,ON,4,local
Mississauga Centre/Mississauga-Centre,35058,Liberal,ON,4,local
Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,Liberal,ON,4,local
Mississauga--Erin Mills,35060,Liberal,ON,4,local
Mississauga--Lakeshore,35061,Liberal,ON,4,local
Mississauga--Malton,35062,Liberal,ON,4,local
Mississauga--Streetsville,35063,Liberal,ON,4,local
Nepean,35064,Liberal,ON,4,local
Newmarket--Aurora,35065,Liberal,ON,4,local
Niagara Centre/Niagara-Centre,35066,Liberal,ON,4,local
Niagara Falls,35067,Conservative,ON,4,local
Niagara West/Niagara-Ouest,35068,Conservative,ON,4,local
Nickel Belt,35069,Liberal,ON,4,local
Nipissing--Timiskaming,35070,Liberal,ON,4,local
Northumberland--Peterborough South/Northumberland--Peterborough-Sud,35071,Liberal,ON,4,local
Oakville,35072,Liberal,ON,4,local
Oakville North--Burlington/Oakville-Nord--Burlington,35073,Liberal,ON,4,local
Orléans,35076,Liberal,ON,4,local
