prov_abbr,party,riding_number,region_number,seat_type
BC,Conservative,0,0,local
BC,Conservative,1,0,local
BC,Green,2,0,local
BC,Liberal,3,0,local
BC,Liberal,4,0,local
BC,Liberal,5,0,local
BC,Liberal,6,0,local
BC,Liberal,7,0,local
BC,Liberal,8,0,local
BC,Liberal,9,0,local
BC,Liberal,10,0,local
BC,Liberal,11,0,local
BC,Liberal,12,0,local
BC,Liberal,13,0,local
BC,Liberal,14,0,local
BC,Liberal,15,0,local
BC,Liberal,16,0,local
BC,Liberal,17,0,local
BC,Liberal,18,0,local
BC,Liberal,19,0,local
BC,Liberal,20,0,local
BC,Liberal,21,0,local
BC,Liberal,22,0,local
BC,Liberal,23,0,local
BC,Liberal,24,0,local
BC,Liberal,25,0,local
BC,Liberal,26,0,local
BC,Liberal,27,0,local
BC,Liberal,28,0,local
BC,NDP,29,0,local
BC,NDP,30,0,local
BC,NDP,31,0,local
BC,NDP,32,0,local
BC,NDP,33,0,local
BC,NDP,34,0,local
BC,NDP,35,0,local
BC,NDP,36,0,local
BC,NDP,37,0,local
BC,NDP,38,0,local
BC,NDP,39,0,local
BC,NDP,40,0,local
BC,NDP,41,0,local
AB,Conservative,42,1,local
AB,Conservative,43,1,local
AB,Conservative,44,1,local
AB,Conservative,45,1,local
AB,Conservative,46,1,local
AB,Conservative,47,1,local
AB,Conservative,48,1,local
AB,Conservative,49,1,local
AB,Conservative,50,1,local
AB,Conservative,51,1,local
AB,Conservative,52,1,local
AB,Conservative,53,1,local
AB,Conservative,54,1,local
AB,Conservative,55,1,local
AB,Conservative,56,1,local
AB,Conservative,57,1,local
AB,Conservative,58,1,local
AB,Conservative,59,1,local
AB,Conservative,60,1,local
AB,Conservative,61,1,local
AB,Conservative,62,1,local
AB,Conservative,63,1,local
AB,Conservative,64,1,local
AB,Conservative,65,1,local
AB,Conservative,66,1,local
AB,Conservative,67,1,local
AB,Liberal,68,1,local
AB,Liberal,69,1,local
AB,Liberal,70,1,local
AB,Liberal,71,1,local
AB,Liberal,72,1,local
AB,Liberal,73,1,local
AB,NDP,74,1,local
AB,NDP,75,1,local
SK,Conservative,76,2,local
SK,Conservative,77,2,local
SK,Conservative,78,2,local
SK,Conservative,79,2,local
SK,Conservative,80,2,local
SK,Conservative,81,2,local
SK,Conservative,82,2,local
SK,Conservative,83,2,local
SK,Liberal,84,2,local
SK,Liberal,85,2,local
SK,NDP,86,2,local
SK,NDP,87,2,local
SK,NDP,88,2,local
SK,NDP,89,2,local
MB,Conservative,90,3,local
MB,Conservative,91,3,local
MB,Conservative,92,3,local
MB,Conservative,93,3,local
MB,Liberal,94,3,local
MB,Liberal,95,3,local
MB,Liberal,96,3,local
MB,Liberal,97,3,local
