party,region,voting_system,value
Bloc,BC,FPTP,0
Conservative,BC,FPTP,10
Green,BC,FPTP,1
Liberal,BC,FPTP,17
NDP,BC,FPTP,14
Bloc,AB,FPTP,0
Conservative,AB,FPTP,29
Green,AB,FPTP,0
Liberal,AB,FPTP,4
NDP,AB,FPTP,1
Bloc,SK,FPTP,0
Conservative,SK,FPTP,10
Green,SK,FPTP,0
Liberal,SK,FPTP,1
NDP,SK,FPTP,3
Bloc,MB,FPTP,0
Conservative,MB,FPTP,5
Green,MB,FPTP,0
Liberal,MB,FPTP,7
NDP,MB,FPTP,2
Bloc,ON,FPTP,0
Conservative,ON,FPTP,33
Green,ON,FPTP,0
Liberal,ON,FPTP,80
NDP,ON,FPTP,8
Bloc,QC,FPTP,10
Conservative,QC,FPTP,12
Green,QC,FPTP,0
Liberal,QC,FPTP,40
NDP,QC,FPTP,16
Bloc,NB,FPTP,0
Conservative,NB,FPTP,0
Green,NB,FPTP,0
Liberal,NB,FPTP,10
NDP,NB,FPTP,0
Bloc,NS,FPTP,0
Conservative,NS,FPTP,0
Green,NS,FPTP,0
Liberal,NS,FPTP,11
NDP,NS,FPTP,0
Bloc,PE,FPTP,0
Conservative,PE,FPTP,0
Green,PE,FPTP,0
Liberal,PE,FPTP,4
NDP,PE,FPTP,0
Bloc,NL,FPTP,0
Conservative,NL,FPTP,0
Green,NL,FPTP,0
Liberal,NL,FPTP,7
NDP,NL,FPTP,0
Bloc,YT,FPTP,0
Conservative,YT,FPTP,0
Green,YT,FPTP,0
Liberal,YT,FPTP,1
NDP,YT,FPTP,0
Bloc,NT,FPTP,0
Conservative,NT,FPTP,0
Green,NT,FPTP,0
Liberal,NT,FPTP,1
NDP,NT,FPTP,0
Bloc,NU,FPTP,0
Conservative,NU,FPTP,0
Green,NU,FPTP,0
Liberal,NU,FPTP,1
NDP,NU,FPTP,0
Bloc,Canada,FPTP,10
Conservative,Canada,FPTP,99
Green,Canada,FPTP,1
Liberal,Canada,FPTP,184
NDP,Canada,FPTP,44
Bloc,BC,MMP,0
Conservative,BC,MMP,11
Green,BC,MMP,3
Liberal,BC,MMP,15
NDP,BC,MMP,13
Bloc,AB,MMP,0
Conservative,AB,MMP,21
Green,AB,MMP,0
Liberal,AB,MMP,9
NDP,AB,MMP,4
Bloc,SK,MMP,0
Conservative,SK,MMP,7
Green,SK,MMP,0
Liberal,SK,MMP,3
NDP,SK,MMP,4
Bloc,MB,MMP,0
Conservative,MB,MMP,6
Green,MB,MMP,0
Liberal,MB,MMP,6
NDP,MB,MMP,2
Bloc,ON,MMP,0
Conservative,ON,MMP,41
Green,ON,MMP,1
Liberal,ON,MMP,57
NDP,ON,MMP,22
Bloc,QC,MMP,15
Conservative,QC,MMP,13
Green,QC,MMP,0
Liberal,QC,MMP,29
NDP,QC,MMP,21
Bloc,NB,MMP,0
Conservative,NB,MMP,2
Green,NB,MMP,0
Liberal,NB,MMP,6
NDP,NB,MMP,2
Bloc,NS,MMP,0
Conservative,NS,MMP,2
Green,NS,MMP,0
Liberal,NS,MMP,7
NDP,NS,MMP,2
Bloc,PE,MMP,0
Conservative,PE,MMP,1
Green,PE,MMP,0
Liberal,PE,MMP,2
NDP,PE,MMP,1
